Date/Time,Value,Unit,Averaging Hour
12/1/2020 12:00:00 AM,27,μg/m3,1 Hr
12/1/2020 1:00:00 AM,30,μg/m3,1 Hr
12/1/2020 2:00:00 AM,34,μg/m3,1 Hr
12/1/2020 3:00:00 AM,33,μg/m3,1 Hr
12/1/2020 4:00:00 AM,28,μg/m3,1 Hr
12/1/2020 5:00:00 AM,32,μg/m3,1 Hr
12/1/2020 6:00:00 AM,31,μg/m3,1 Hr
12/1/2020 7:00:00 AM,26,μg/m3,1 Hr
12/1/2020 8:00:00 AM,30,μg/m3,1 Hr
12/1/2020 9:00:00 AM,30,μg/m3,1 Hr
12/1/2020 10:00:00 AM,20,μg/m3,1 Hr
12/1/2020 11:00:00 AM,7,μg/m3,1 Hr
12/1/2020 12:00:00 PM,6,μg/m3,1 Hr
12/1/2020 1:00:00 PM,14,μg/m3,1 Hr
12/1/2020 2:00:00 PM,31,μg/m3,1 Hr
12/1/2020 3:00:00 PM,31,μg/m3,1 Hr
12/1/2020 4:00:00 PM,28,μg/m3,1 Hr
12/1/2020 5:00:00 PM,27,μg/m3,1 Hr
12/1/2020 6:00:00 PM,29,μg/m3,1 Hr
12/1/2020 7:00:00 PM,17,μg/m3,1 Hr
12/1/2020 8:00:00 PM,10,μg/m3,1 Hr
12/1/2020 9:00:00 PM,23,μg/m3,1 Hr
12/1/2020 10:00:00 PM,43,μg/m3,1 Hr
12/1/2020 11:00:00 PM,45,μg/m3,1 Hr
12/2/2020 12:00:00 AM,50,μg/m3,1 Hr
12/2/2020 1:00:00 AM,47,μg/m3,1 Hr
12/2/2020 2:00:00 AM,42,μg/m3,1 Hr
12/2/2020 3:00:00 AM,38,μg/m3,1 Hr
12/2/2020 4:00:00 AM,37,μg/m3,1 Hr
12/2/2020 5:00:00 AM,40,μg/m3,1 Hr
12/2/2020 6:00:00 AM,39,μg/m3,1 Hr
12/2/2020 7:00:00 AM,29,μg/m3,1 Hr
12/2/2020 8:00:00 AM,12,μg/m3,1 Hr
12/2/2020 9:00:00 AM,29,μg/m3,1 Hr
12/2/2020 10:00:00 AM,31,μg/m3,1 Hr
12/2/2020 11:00:00 AM,--,μg/m3,1 Hr
12/2/2020 12:00:00 PM,--,μg/m3,1 Hr
12/2/2020 1:00:00 PM,--,μg/m3,1 Hr
12/2/2020 2:00:00 PM,--,μg/m3,1 Hr
12/2/2020 3:00:00 PM,--,μg/m3,1 Hr
12/2/2020 4:00:00 PM,--,μg/m3,1 Hr
12/2/2020 5:00:00 PM,--,μg/m3,1 Hr
12/2/2020 6:00:00 PM,--,μg/m3,1 Hr
12/2/2020 7:00:00 PM,--,μg/m3,1 Hr
12/2/2020 8:00:00 PM,30,μg/m3,1 Hr
12/2/2020 9:00:00 PM,30,μg/m3,1 Hr
12/2/2020 10:00:00 PM,26,μg/m3,1 Hr
12/2/2020 11:00:00 PM,5,μg/m3,1 Hr
12/3/2020 12:00:00 AM,16,μg/m3,1 Hr
12/3/2020 1:00:00 AM,21,μg/m3,1 Hr
12/3/2020 2:00:00 AM,42,μg/m3,1 Hr
12/3/2020 3:00:00 AM,49,μg/m3,1 Hr
12/3/2020 4:00:00 AM,35,μg/m3,1 Hr
12/3/2020 5:00:00 AM,26,μg/m3,1 Hr
12/3/2020 6:00:00 AM,30,μg/m3,1 Hr
12/3/2020 7:00:00 AM,37,μg/m3,1 Hr
12/3/2020 8:00:00 AM,21,μg/m3,1 Hr
12/3/2020 9:00:00 AM,24,μg/m3,1 Hr
12/3/2020 10:00:00 AM,35,μg/m3,1 Hr
12/3/2020 11:00:00 AM,53,μg/m3,1 Hr
12/3/2020 12:00:00 PM,73,μg/m3,1 Hr
12/3/2020 1:00:00 PM,58,μg/m3,1 Hr
12/3/2020 2:00:00 PM,37,μg/m3,1 Hr
12/3/2020 3:00:00 PM,29,μg/m3,1 Hr
12/3/2020 4:00:00 PM,19,μg/m3,1 Hr
12/3/2020 5:00:00 PM,47,μg/m3,1 Hr
12/3/2020 6:00:00 PM,58,μg/m3,1 Hr
12/3/2020 7:00:00 PM,44,μg/m3,1 Hr
12/3/2020 8:00:00 PM,36,μg/m3,1 Hr
12/3/2020 9:00:00 PM,34,μg/m3,1 Hr
12/3/2020 10:00:00 PM,37,μg/m3,1 Hr
12/3/2020 11:00:00 PM,36,μg/m3,1 Hr
12/4/2020 12:00:00 AM,32,μg/m3,1 Hr
12/4/2020 1:00:00 AM,33,μg/m3,1 Hr
12/4/2020 2:00:00 AM,24,μg/m3,1 Hr
12/4/2020 3:00:00 AM,18,μg/m3,1 Hr
12/4/2020 4:00:00 AM,17,μg/m3,1 Hr
12/4/2020 5:00:00 AM,21,μg/m3,1 Hr
12/4/2020 6:00:00 AM,24,μg/m3,1 Hr
12/4/2020 7:00:00 AM,20,μg/m3,1 Hr
12/4/2020 8:00:00 AM,13,μg/m3,1 Hr
12/4/2020 9:00:00 AM,22,μg/m3,1 Hr
12/4/2020 10:00:00 AM,17,μg/m3,1 Hr
12/4/2020 11:00:00 AM,11,μg/m3,1 Hr
12/4/2020 12:00:00 PM,8,μg/m3,1 Hr
12/4/2020 1:00:00 PM,7,μg/m3,1 Hr
12/4/2020 2:00:00 PM,3,μg/m3,1 Hr
12/4/2020 3:00:00 PM,10,μg/m3,1 Hr
12/4/2020 4:00:00 PM,7,μg/m3,1 Hr
12/4/2020 5:00:00 PM,10,μg/m3,1 Hr
12/4/2020 6:00:00 PM,17,μg/m3,1 Hr
12/4/2020 7:00:00 PM,52,μg/m3,1 Hr
12/4/2020 8:00:00 PM,775,μg/m3,1 Hr
12/4/2020 9:00:00 PM,274,μg/m3,1 Hr
12/4/2020 10:00:00 PM,128,μg/m3,1 Hr
12/4/2020 11:00:00 PM,48,μg/m3,1 Hr
12/5/2020 12:00:00 AM,53,μg/m3,1 Hr
12/5/2020 1:00:00 AM,43,μg/m3,1 Hr
12/5/2020 2:00:00 AM,53,μg/m3,1 Hr
12/5/2020 3:00:00 AM,63,μg/m3,1 Hr
12/5/2020 4:00:00 AM,58,μg/m3,1 Hr
12/5/2020 5:00:00 AM,45,μg/m3,1 Hr
12/5/2020 6:00:00 AM,44,μg/m3,1 Hr
12/5/2020 7:00:00 AM,43,μg/m3,1 Hr
12/5/2020 8:00:00 AM,33,μg/m3,1 Hr
12/5/2020 9:00:00 AM,27,μg/m3,1 Hr
12/5/2020 10:00:00 AM,21,μg/m3,1 Hr
12/5/2020 11:00:00 AM,5,μg/m3,1 Hr
12/5/2020 12:00:00 PM,--,μg/m3,1 Hr
12/5/2020 1:00:00 PM,18,μg/m3,1 Hr
12/5/2020 2:00:00 PM,50,μg/m3,1 Hr
12/5/2020 3:00:00 PM,31,μg/m3,1 Hr
12/5/2020 4:00:00 PM,26,μg/m3,1 Hr
12/5/2020 5:00:00 PM,21,μg/m3,1 Hr
12/5/2020 6:00:00 PM,27,μg/m3,1 Hr
12/5/2020 7:00:00 PM,24,μg/m3,1 Hr
12/5/2020 8:00:00 PM,28,μg/m3,1 Hr
12/5/2020 9:00:00 PM,35,μg/m3,1 Hr
12/5/2020 10:00:00 PM,50,μg/m3,1 Hr
12/5/2020 11:00:00 PM,62,μg/m3,1 Hr
12/6/2020 12:00:00 AM,81,μg/m3,1 Hr
12/6/2020 1:00:00 AM,87,μg/m3,1 Hr
12/6/2020 2:00:00 AM,84,μg/m3,1 Hr
12/6/2020 3:00:00 AM,80,μg/m3,1 Hr
12/6/2020 4:00:00 AM,70,μg/m3,1 Hr
12/6/2020 5:00:00 AM,64,μg/m3,1 Hr
12/6/2020 6:00:00 AM,57,μg/m3,1 Hr
12/6/2020 7:00:00 AM,49,μg/m3,1 Hr
12/6/2020 8:00:00 AM,26,μg/m3,1 Hr
12/6/2020 9:00:00 AM,29,μg/m3,1 Hr
12/6/2020 10:00:00 AM,25,μg/m3,1 Hr
12/6/2020 11:00:00 AM,17,μg/m3,1 Hr
12/6/2020 12:00:00 PM,17,μg/m3,1 Hr
12/6/2020 1:00:00 PM,10,μg/m3,1 Hr
12/6/2020 2:00:00 PM,8,μg/m3,1 Hr
12/6/2020 3:00:00 PM,9,μg/m3,1 Hr
12/6/2020 4:00:00 PM,9,μg/m3,1 Hr
12/6/2020 5:00:00 PM,17,μg/m3,1 Hr
12/6/2020 6:00:00 PM,23,μg/m3,1 Hr
12/6/2020 7:00:00 PM,13,μg/m3,1 Hr
12/6/2020 8:00:00 PM,20,μg/m3,1 Hr
12/6/2020 9:00:00 PM,38,μg/m3,1 Hr
12/6/2020 10:00:00 PM,47,μg/m3,1 Hr
12/6/2020 11:00:00 PM,51,μg/m3,1 Hr
12/7/2020 12:00:00 AM,53,μg/m3,1 Hr
12/7/2020 1:00:00 AM,50,μg/m3,1 Hr
12/7/2020 2:00:00 AM,54,μg/m3,1 Hr
12/7/2020 3:00:00 AM,56,μg/m3,1 Hr
12/7/2020 4:00:00 AM,48,μg/m3,1 Hr
12/7/2020 5:00:00 AM,41,μg/m3,1 Hr
12/7/2020 6:00:00 AM,42,μg/m3,1 Hr
12/7/2020 7:00:00 AM,42,μg/m3,1 Hr
12/7/2020 8:00:00 AM,42,μg/m3,1 Hr
12/7/2020 9:00:00 AM,52,μg/m3,1 Hr
12/7/2020 10:00:00 AM,56,μg/m3,1 Hr
12/7/2020 11:00:00 AM,52,μg/m3,1 Hr
12/7/2020 12:00:00 PM,43,μg/m3,1 Hr
12/7/2020 1:00:00 PM,32,μg/m3,1 Hr
12/7/2020 2:00:00 PM,26,μg/m3,1 Hr
12/7/2020 3:00:00 PM,16,μg/m3,1 Hr
12/7/2020 4:00:00 PM,2,μg/m3,1 Hr
12/7/2020 5:00:00 PM,3,μg/m3,1 Hr
12/7/2020 6:00:00 PM,0,μg/m3,1 Hr
12/7/2020 7:00:00 PM,6,μg/m3,1 Hr
12/7/2020 8:00:00 PM,9,μg/m3,1 Hr
12/7/2020 9:00:00 PM,16,μg/m3,1 Hr
12/7/2020 10:00:00 PM,14,μg/m3,1 Hr
12/7/2020 11:00:00 PM,12,μg/m3,1 Hr
12/8/2020 12:00:00 AM,15,μg/m3,1 Hr
12/8/2020 1:00:00 AM,24,μg/m3,1 Hr
12/8/2020 2:00:00 AM,30,μg/m3,1 Hr
12/8/2020 3:00:00 AM,24,μg/m3,1 Hr
12/8/2020 4:00:00 AM,20,μg/m3,1 Hr
12/8/2020 5:00:00 AM,16,μg/m3,1 Hr
12/8/2020 6:00:00 AM,14,μg/m3,1 Hr
12/8/2020 7:00:00 AM,20,μg/m3,1 Hr
12/8/2020 8:00:00 AM,26,μg/m3,1 Hr
12/8/2020 9:00:00 AM,29,μg/m3,1 Hr
12/8/2020 10:00:00 AM,24,μg/m3,1 Hr
12/8/2020 11:00:00 AM,7,μg/m3,1 Hr
12/8/2020 12:00:00 PM,0,μg/m3,1 Hr
12/8/2020 1:00:00 PM,1,μg/m3,1 Hr
12/8/2020 2:00:00 PM,0,μg/m3,1 Hr
12/8/2020 3:00:00 PM,2,μg/m3,1 Hr
12/8/2020 4:00:00 PM,10,μg/m3,1 Hr
12/8/2020 5:00:00 PM,8,μg/m3,1 Hr
12/8/2020 6:00:00 PM,9,μg/m3,1 Hr
12/8/2020 7:00:00 PM,15,μg/m3,1 Hr
12/8/2020 8:00:00 PM,18,μg/m3,1 Hr
12/8/2020 9:00:00 PM,16,μg/m3,1 Hr
12/8/2020 10:00:00 PM,19,μg/m3,1 Hr
12/8/2020 11:00:00 PM,24,μg/m3,1 Hr
12/9/2020 12:00:00 AM,21,μg/m3,1 Hr
12/9/2020 1:00:00 AM,19,μg/m3,1 Hr
12/9/2020 2:00:00 AM,18,μg/m3,1 Hr
12/9/2020 3:00:00 AM,21,μg/m3,1 Hr
12/9/2020 4:00:00 AM,20,μg/m3,1 Hr
12/9/2020 5:00:00 AM,20,μg/m3,1 Hr
12/9/2020 6:00:00 AM,24,μg/m3,1 Hr
12/9/2020 7:00:00 AM,25,μg/m3,1 Hr
12/9/2020 8:00:00 AM,31,μg/m3,1 Hr
12/9/2020 9:00:00 AM,24,μg/m3,1 Hr
12/9/2020 10:00:00 AM,20,μg/m3,1 Hr
12/9/2020 11:00:00 AM,16,μg/m3,1 Hr
12/9/2020 12:00:00 PM,10,μg/m3,1 Hr
12/9/2020 1:00:00 PM,14,μg/m3,1 Hr
12/9/2020 2:00:00 PM,12,μg/m3,1 Hr
12/9/2020 3:00:00 PM,12,μg/m3,1 Hr
12/9/2020 4:00:00 PM,19,μg/m3,1 Hr
12/9/2020 5:00:00 PM,13,μg/m3,1 Hr
12/9/2020 6:00:00 PM,14,μg/m3,1 Hr
12/9/2020 7:00:00 PM,16,μg/m3,1 Hr
12/9/2020 8:00:00 PM,10,μg/m3,1 Hr
12/9/2020 9:00:00 PM,14,μg/m3,1 Hr
12/9/2020 10:00:00 PM,25,μg/m3,1 Hr
12/9/2020 11:00:00 PM,20,μg/m3,1 Hr
12/10/2020 12:00:00 AM,16,μg/m3,1 Hr
12/10/2020 1:00:00 AM,24,μg/m3,1 Hr
12/10/2020 2:00:00 AM,29,μg/m3,1 Hr
12/10/2020 3:00:00 AM,23,μg/m3,1 Hr
12/10/2020 4:00:00 AM,22,μg/m3,1 Hr
12/10/2020 5:00:00 AM,20,μg/m3,1 Hr
12/10/2020 6:00:00 AM,26,μg/m3,1 Hr
12/10/2020 7:00:00 AM,27,μg/m3,1 Hr
12/10/2020 8:00:00 AM,23,μg/m3,1 Hr
12/10/2020 9:00:00 AM,26,μg/m3,1 Hr
12/10/2020 10:00:00 AM,17,μg/m3,1 Hr
12/10/2020 11:00:00 AM,7,μg/m3,1 Hr
12/10/2020 12:00:00 PM,4,μg/m3,1 Hr
12/10/2020 1:00:00 PM,8,μg/m3,1 Hr
12/10/2020 2:00:00 PM,9,μg/m3,1 Hr
12/10/2020 3:00:00 PM,8,μg/m3,1 Hr
12/10/2020 4:00:00 PM,13,μg/m3,1 Hr
12/10/2020 5:00:00 PM,19,μg/m3,1 Hr
12/10/2020 6:00:00 PM,15,μg/m3,1 Hr
12/10/2020 7:00:00 PM,18,μg/m3,1 Hr
12/10/2020 8:00:00 PM,28,μg/m3,1 Hr
12/10/2020 9:00:00 PM,34,μg/m3,1 Hr
12/10/2020 10:00:00 PM,37,μg/m3,1 Hr
12/10/2020 11:00:00 PM,26,μg/m3,1 Hr
12/11/2020 12:00:00 AM,17,μg/m3,1 Hr
12/11/2020 1:00:00 AM,27,μg/m3,1 Hr
12/11/2020 2:00:00 AM,30,μg/m3,1 Hr
12/11/2020 3:00:00 AM,30,μg/m3,1 Hr
12/11/2020 4:00:00 AM,30,μg/m3,1 Hr
12/11/2020 5:00:00 AM,31,μg/m3,1 Hr
12/11/2020 6:00:00 AM,27,μg/m3,1 Hr
12/11/2020 7:00:00 AM,27,μg/m3,1 Hr
12/11/2020 8:00:00 AM,19,μg/m3,1 Hr
12/11/2020 9:00:00 AM,12,μg/m3,1 Hr
12/11/2020 10:00:00 AM,19,μg/m3,1 Hr
12/11/2020 11:00:00 AM,20,μg/m3,1 Hr
12/11/2020 12:00:00 PM,14,μg/m3,1 Hr
12/11/2020 1:00:00 PM,18,μg/m3,1 Hr
12/11/2020 2:00:00 PM,16,μg/m3,1 Hr
12/11/2020 3:00:00 PM,20,μg/m3,1 Hr
12/11/2020 4:00:00 PM,23,μg/m3,1 Hr
12/11/2020 5:00:00 PM,19,μg/m3,1 Hr
12/11/2020 6:00:00 PM,20,μg/m3,1 Hr
12/11/2020 7:00:00 PM,22,μg/m3,1 Hr
12/11/2020 8:00:00 PM,14,μg/m3,1 Hr
12/11/2020 9:00:00 PM,26,μg/m3,1 Hr
12/11/2020 10:00:00 PM,37,μg/m3,1 Hr
12/11/2020 11:00:00 PM,36,μg/m3,1 Hr
12/12/2020 12:00:00 AM,38,μg/m3,1 Hr
12/12/2020 1:00:00 AM,43,μg/m3,1 Hr
12/12/2020 2:00:00 AM,50,μg/m3,1 Hr
12/12/2020 3:00:00 AM,49,μg/m3,1 Hr
12/12/2020 4:00:00 AM,44,μg/m3,1 Hr
12/12/2020 5:00:00 AM,35,μg/m3,1 Hr
12/12/2020 6:00:00 AM,26,μg/m3,1 Hr
12/12/2020 7:00:00 AM,26,μg/m3,1 Hr
12/12/2020 8:00:00 AM,22,μg/m3,1 Hr
12/12/2020 9:00:00 AM,27,μg/m3,1 Hr
12/12/2020 10:00:00 AM,23,μg/m3,1 Hr
12/12/2020 11:00:00 AM,17,μg/m3,1 Hr
12/12/2020 12:00:00 PM,13,μg/m3,1 Hr
12/12/2020 1:00:00 PM,6,μg/m3,1 Hr
12/12/2020 2:00:00 PM,7,μg/m3,1 Hr
12/12/2020 3:00:00 PM,6,μg/m3,1 Hr
12/12/2020 4:00:00 PM,--,μg/m3,1 Hr
12/12/2020 5:00:00 PM,0,μg/m3,1 Hr
12/12/2020 6:00:00 PM,13,μg/m3,1 Hr
12/12/2020 7:00:00 PM,16,μg/m3,1 Hr
12/12/2020 8:00:00 PM,24,μg/m3,1 Hr
12/12/2020 9:00:00 PM,26,μg/m3,1 Hr
12/12/2020 10:00:00 PM,25,μg/m3,1 Hr
12/12/2020 11:00:00 PM,38,μg/m3,1 Hr
12/13/2020 12:00:00 AM,53,μg/m3,1 Hr
12/13/2020 1:00:00 AM,49,μg/m3,1 Hr
12/13/2020 2:00:00 AM,60,μg/m3,1 Hr
12/13/2020 3:00:00 AM,62,μg/m3,1 Hr
12/13/2020 4:00:00 AM,49,μg/m3,1 Hr
12/13/2020 5:00:00 AM,38,μg/m3,1 Hr
12/13/2020 6:00:00 AM,23,μg/m3,1 Hr
12/13/2020 7:00:00 AM,--,μg/m3,1 Hr
12/13/2020 8:00:00 AM,3,μg/m3,1 Hr
12/13/2020 9:00:00 AM,1,μg/m3,1 Hr
12/13/2020 10:00:00 AM,7,μg/m3,1 Hr
12/13/2020 11:00:00 AM,7,μg/m3,1 Hr
12/13/2020 12:00:00 PM,16,μg/m3,1 Hr
12/13/2020 1:00:00 PM,13,μg/m3,1 Hr
12/13/2020 2:00:00 PM,7,μg/m3,1 Hr
12/13/2020 3:00:00 PM,12,μg/m3,1 Hr
12/13/2020 4:00:00 PM,1,μg/m3,1 Hr
12/13/2020 5:00:00 PM,8,μg/m3,1 Hr
12/13/2020 6:00:00 PM,11,μg/m3,1 Hr
12/13/2020 7:00:00 PM,11,μg/m3,1 Hr
12/13/2020 8:00:00 PM,11,μg/m3,1 Hr
12/13/2020 9:00:00 PM,6,μg/m3,1 Hr
12/13/2020 10:00:00 PM,6,μg/m3,1 Hr
12/13/2020 11:00:00 PM,--,μg/m3,1 Hr
12/14/2020 12:00:00 AM,--,μg/m3,1 Hr
12/14/2020 1:00:00 AM,--,μg/m3,1 Hr
12/14/2020 2:00:00 AM,--,μg/m3,1 Hr
12/14/2020 3:00:00 AM,--,μg/m3,1 Hr
12/14/2020 4:00:00 AM,0,μg/m3,1 Hr
12/14/2020 5:00:00 AM,4,μg/m3,1 Hr
12/14/2020 6:00:00 AM,13,μg/m3,1 Hr
12/14/2020 7:00:00 AM,11,μg/m3,1 Hr
12/14/2020 8:00:00 AM,25,μg/m3,1 Hr
